geneid	length	nreads
Malat1	6982	283885
Rpph1	325	173930
Gm17821	12530	82675
Gm20594	334	81463
Lars2	3881	64380
Smarca4	19107	52424
Mki67	10075	51729
Actb	1889	38675
Kcnq1ot1	83437	36773
Ptma	1192	35244
Syk	10202	33870
Cecr2	9213	32068
A130077B15Rik	2547	31016
Akap12	6247	30030
Hmgb1	2309	28653
Bach2	8493	28287
Ddx5	3520	27829
Hnrnpu	3670	27105
Myb	7197	26841
Rag1	6667	26483
Xist	30168	26375
Pabpc1	2820	25120
Prrc2c	10444	25112
Cyfip2	19633	24948
Eef2	3100	24377
Hmgb2	2692	23660
Hsp90ab1	2507	23262
Mll2	19827	23106
Serinc3	3694	23043
Srrm2	8600	22166
Hist1h1c	1561	22159
Eef1a1	1789	21515
Hnrnpa2b1	5732	21175
Hist2h2bb	493	20780
Rmrp	275	20702
Top2a	5217	20494
Myh9	7371	20405
4930470H14Rik	1734	20211
Hsp90b1	2759	20115
Ncl	8257	20015
Aff1	16635	19820
Msn	3840	19572
Sfpq	5783	19166
Grk4	5648	18423
Nipbl	17414	18271
Rpl13a	1026	18082
Iqgap1	7359	17802
Tcf3	26488	17573
Gm10845	3389	17527
Son	15737	17299
Sptbn1	17288	17263
Arid1a	8175	16982
Hspa8	2104	16948
Lmnb1	2844	16931
Ucp2	4133	16707
Tpt1	894	16255
Hnrnpk	1978	16011
Wdfy4	9681	15983
Med13	11787	15921
Top2b	5633	15776
Plekha2	4984	15694
Cd24a	1816	15547
Tubb5	2645	15464
Atrx	10242	15281
Dock2	6291	15123
Ikzf3	4098	14978
Stk4	5189	14952
Wnk1	53018	14946
Atp1b1	2422	14873
Rplp0	1360	14864
Rere	7458	14813
Eif4g2	15406	14542
Arid1b	11325	14405
Prkcb	8829	14292
Foxp1	20834	14206
Ankrd11	17535	14205
Mid1	7784	14180
Hsp90aa1	2850	13993
Chd4	6425	13387
Mll3	16820	13350
Prrc2a	13713	13344
Eif3a	5176	13056
Itga4	9832	13011
Rpl37	867	12979
Dek	2602	12897
Rad21	3605	12882
Map3k1	6961	12861
Akap13	12543	12837
Glcci1	6204	12794
Birc6	15768	12492
Trp53inp1	10822	12447
Lrmp	2313	12265
Bcl7a	3809	12170
D930015E06Rik	4909	12163
Zeb2	9113	12163
Dgkd	5694	12023
Rpl5	2019	12006
