geneid	length	nreads
Lars2	3881	812543
Rpph1	325	290432
Malat1	6982	229221
Actb	1889	136691
Gm20594	334	124071
Tmem38b	2861	122376
Cd74	2638	79670
Eef1a1	1789	67227
Rmrp	275	63290
Myh9	7371	55186
Hspa8	2104	54594
Eef2	3100	53651
Hsp90ab1	2507	48717
Msn	3840	41960
Ms4a1	2057	39506
Mll2	19827	38612
Syk	10202	38574
Wdfy4	9681	37885
Macf1	40909	36001
Ptpn6	4409	35249
Cd24a	1816	35201
Iqgap1	7359	34446
Ikzf3	4098	33794
Actg1	1894	33760
Serinc3	3694	32730
Rpl13a	1026	32590
Spib	2786	32224
Btg1	5008	30769
Map3k1	6961	30238
Rpsa	1861	30068
Tpt1	894	29957
Ptprj	11835	29643
Ddx5	3520	29147
Mcl1	3487	28542
Scd1	4837	27912
Snord15b	145	27791
Srrm2	8600	27132
Pabpc1	2820	27099
Fam129c	2482	26173
Ptma	1192	26099
Hsp90b1	2759	26022
Prrc2c	10444	25771
Chst3	6112	25644
Mir5109	87	25488
Rpl5	2019	25378
Ptprc	15994	25343
Flna	8347	24085
Chd4	6425	23807
Tln1	8560	23704
Cyfip2	19633	23458
Ncl	8257	23364
Arid1a	8175	23313
Cd79b	1198	22870
Atp2a3	13719	22849
Med13	11787	22578
Son	15737	22415
Coro1a	1597	22298
Prrc2a	13713	21770
Hnrnpu	3670	21714
Hnrnpa2b1	5732	21515
Swap70	4035	21375
Mki67	10075	21350
Ywhaz	13871	21284
Rplp0	1360	21028
Dock2	6291	20392
Ucp2	4133	20094
Rps6	1394	19691
Rpl23a	560	19511
Calr	1943	19160
Tcf3	26488	19133
Eif4g2	15406	18952
Hnrnpf	16120	18893
Rpl4	1422	18855
Rps7	961	18756
Prkcb	8829	18746
Ly6e	12714	18694
Akap13	12543	18629
Cd19	2436	18614
Foxp1	20834	18181
Prpf8	7481	18029
Smg1	15553	18016
Rps3a1	943	17935
Cd72	5736	17762
Gnai2	2177	17697
Cd22	8069	17551
Rpl8	862	17514
Unc93b1	4258	17452
Actr3	7851	17393
Hist1h1c	1561	17296
Rpl7	934	17186
Mll3	16820	17176
Lyn	6849	17146
Arhgef1	16676	17122
Pten	8212	17081
Wnk1	53018	17070
H2-K1	1646	16809
Tmsb4x	670	16754
Mll1	16439	16729
Hsp90aa1	2850	16712
Akap12	6247	16373
Sptbn1	17288	16359
Ikzf1	10065	16334
Plekha2	4984	16244
Snord17	221	16235
Rpl19	1490	16140
Hnrnpk	1978	16077
Plcg2	4298	16036
Dgkd	5694	15985
Adrbk1	3182	15870
Cltc	6144	15869
Eif3a	5176	15824
Myo1c	15883	15726
Rps9	703	15580
Birc6	15768	15533
Rpl17	775	15433
Rpl6	1250	15406
Arhgap30	4487	15343
Sfpq	5783	15318
Bptf	11488	15208
Itpr3	8990	15146
Ubr4	15872	15098
Pfn1	870	14996
Sbk1	4092	14947
Ezr	3070	14938
Ets1	9859	14934
Dync1h1	14398	14928
Gnb2l1	1254	14886
Sf3b1	6192	14824
Ccnd2	5771	14797
Lcp1	7748	14779
Rpl18a	1291	14767
Klf2	1816	14730
Crebbp	7507	14638
Vim	1834	14633
Iqsec1	11016	14539
Huwe1	14625	14462
Tnfrsf13c	1906	14441
Rps3	1878	14433
Rpl21	1856	14408
Nsd1	12784	14357
Cfl1	1184	14310
Tpm3	9062	14269
Ncor1	20689	14218
Tubb5	2645	14167
Ifi30	981	14045
Rps8	740	14011
Calm1	4001	13991
Lsp1	11254	13983
Kat6a	9126	13888
Rere	7458	13589
Samhd1	7897	13582
Fau	1881	13572
Stk4	5189	13545
Rplp2	441	13534
Gnas	22976	13514
Kctd12	6057	13509
Ppia	736	13434
Cic	18294	13409
Faim3	1491	13364
Psap	15807	13341
Kcnq1ot1	83437	13329
Ly6d	691	13317
Jund	2878	13306
Rpl3	1361	13305
Cd79a	1327	13300
Irf8	2827	13239
Sptan1	23994	13201
Bach2	8493	13175
Brwd1	18378	13156
Sorl1	6938	13150
Setd2	8350	13142
Sf3b2	3233	13092
Ybx1	2191	12857
Cd37	1226	12815
Ddx17	16427	12738
Uba52	494	12738
Polr2a	5799	12716
Aff3	6010	12653
Lrmp	2313	12634
Top2b	5633	12588
Hip1r	4392	12548
Nap1l1	5453	12506
Vars	4224	12492
Serbp1	26614	12436
Ptk2b	11794	12397
Ptbp3	13735	12348
Ankrd11	17535	12346
Rps4x	876	12280
Ep300	8749	12246
Rplp1	468	12214
Zfp106	9099	12082
Nipbl	17414	12077
Cnp	4881	12054
Pik3ap1	2615	12037
Fryl	11470	11992
1700021K19Rik	10641	11985
Nedd9	8947	11838
Csk	2276	11825
Atrx	10242	11817
Hmha1	7408	11816
Rbm39	2812	11816
Sik1	4509	11811
Esyt1	3685	11778
Mbnl1	28915	11776
B2m	858	11726
Tpr	7550	11722
Rpl13	778	11706
H3f3b	1993	11695
Mycbp2	15233	11603
Tmem123	2870	11593
Rpl41	449	11550
Dmxl1	12211	11501
H3f3a	1076	11489
Eif4g1	10813	11367
Ablim1	18775	11357
Hspa5	5150	11343
Smarca4	19107	11340
Pou2af1	2566	11332
Parp1	3827	11317
Hvcn1	5423	11221
Itga4	9832	11197
Acin1	19148	11174
Grk6	8091	11130
Rac2	3036	11105
Ep400	21488	11056
Rpl10	795	10908
Hmgb1	2309	10881
Fmnl1	7647	10852
Brd2	13469	10790
Rps24	2569	10779
Serp1	2449	10727
Aff1	16635	10683
Prkcd	2775	10644
Pax5	1208	10612
Akna	5475	10609
Scaf11	7724	10594
Kdm3b	7112	10586
Hnrnpm	4947	10575
Sept11	5008	10570
Gm17821	12530	10562
Mll5	7258	10561
Zcchc11	6054	10554
H2-Ab1	1193	10552
Ralgps2	41634	10542
Rcc2	3767	10537
Wdr1	2878	10533
Canx	12827	10451
Numa1	7153	10389
Ddx6	18106	10343
Sipa1	18455	10338
Arid1b	11325	10309
Notch2	10506	10277
Caprin1	25393	10275
Card11	4112	10259
Siglecg	2484	10223
Mtss1	9908	10206
Hcfc1	8093	10156
Ncoa3	7531	10139
Atp5a1	2431	10123
Dock8	7810	10086
Kif21b	9119	10007
Rpl27a	1112	9932
Chd2	9071	9903
Trip12	9632	9893
Tcf20	14579	9874
Rpl29	710	9866
Rpl7a	864	9841
Plec	225028	9828
Stk10	5073	9792
Bcl11a	12842	9772
Bank1	3247	9769
Cap1	2393	9767
Cux1	7990	9710
Arhgdia	2732	9674
Baz1a	6179	9674
Prex1	6530	9621
Lmnb1	2844	9610
Cnot1	24984	9590
Tcof1	9150	9573
Hnrnpul1	4106	9463
Rps23	555	9456
Prrc2b	19232	9451
Tet3	10906	9437
Lbh	3068	9431
Usp34	12200	9406
Rpl35	452	9392
Purb	8478	9373
5031439G07Rik	5032	9365
Fam107b	3148	9362
Laptm5	2398	9360
Treml2	4509	9344
Hck	4184	9286
Snn	2904	9269
Pml	10616	9265
Hcls1	2018	9258
Snrnp200	6740	9166
Nfkb1	4118	9147
Actr2	3669	9081
Dennd4b	5399	9066
Baz1b	6433	9035
D930015E06Rik	4909	9028
Smchd1	7047	9022
Thrap3	4327	8996
Elf1	4217	8994
Pum2	37079	8962
Map4k1	2698	8947
Eif4g3	18437	8945
Rps20	502	8928
Dbnl	7086	8920
E2f2	4738	8905
Hnrnpab	4949	8893
Vav1	12315	8886
Sbno1	10071	8855
Npm1	4093	8824
Sf1	8084	8804
Snx2	2013	8762
Gdi2	2681	8756
Phip	10729	8724
Rpl23	1062	8698
Sp100	2158	8638
Eef1g	1565	8615
Brd4	8667	8595
Csde1	8309	8586
Syvn1	6573	8578
Rasgrp1	5105	8566
Wdr26	7047	8528
Itsn2	14409	8526
Herc2	15346	8512
Ppp6r1	3793	8498
Hnrnph1	2226	8477
Arf6	3731	8452
Rps2	999	8437
Slc12a6	12573	8406
Hist1h1e	1931	8371
Snord15a	148	8355
Rhoa	2126	8339
Set	5497	8336
Jarid2	17383	8326
Supt16	4491	8293
Nedd4	5494	8292
Atp13a2	8580	8273
Chd8	8190	8262
Rock1	6187	8226
Jak1	5299	8223
Nono	4933	8205
Inpp5d	14628	8201
Ppp1ca	1363	8179
Myo1e	4944	8166
Top2a	5217	8160
Fcrla	5046	8159
Hist1h1d	2977	8157
Cep110	13582	8136
Add1	11918	8083
Hnrnpul2	5726	8079
Foxo1	5552	8052
Sh2b3	2482	8034
Ptprcap	846	8012
Arhgef18	5300	8008
Usp7	5427	8007
Gabpb2	17273	8006
Wipf1	4397	8006
Ash1l	11270	7987
Eif3c	2882	7970
Helz2	10109	7970
Rasa3	4118	7946
Nfatc3	6014	7935
Zfp36l1	2984	7926
Nup210	7035	7914
Ywhae	2078	7882
Ahnak	19145	7881
Syne2	21718	7880
Herc1	15229	7871
Setx	10970	7861
Ranbp2	9476	7858
Golgb1	11025	7849
Dock10	7303	7836
Txnip	5599	7824
Klf13	6396	7819
Tnrc6b	34458	7812
Hipk1	8049	7797
Rpl18	679	7792
Itpr2	23547	7790
Atp5b	1879	7771
Arhgap17	16878	7738
Rps27a	1547	7705
Rps17	474	7703
Jmjd1c	16999	7692
Eif4b	3854	7686
Sema4d	4377	7673
Pik3c2b	7929	7668
Vps13d	44688	7664
Arpc2	1597	7661
Rbm5	3087	7637
Ppp1r18	8526	7636
Rps12	518	7625
Chd3	7281	7597
Rapgef1	18321	7585
Cep350	13307	7583
Myo1g	3307	7583
Nckap1l	4717	7581
Mdn1	17959	7579
Adam19	6387	7560
Fth1	2453	7560
Sdc4	2460	7556
Luc7l2	10478	7540
Pdia4	2481	7528
Hectd1	8988	7526
Rbm25	4244	7501
Klhl14	4018	7479
Baz2a	8369	7477
Sun2	11325	7462
Ptp4a2	6795	7440
Dock11	6665	7418
Trrap	12476	7418
Khdrbs1	6348	7408
Hmgb2	2692	7388
Hivep3	9021	7386
Dhx9	4613	7381
Pdcd4	6554	7351
Rad21	3605	7349
Etnk1	6433	7340
Eef1b2	1933	7316
Cerk	4546	7315
Ftl1	970	7308
Nfkbid	2010	7301
Spen	12299	7294
Cytip	5735	7292
Atf7ip	4527	7287
Tlr9	3471	7284
Itpr1	9877	7270
Zfp36l2	3532	7252
Erbb2ip	12962	7226
Rpl11	594	7190
Naca	8152	7170
Arid3a	5326	7165
Eif5a	12029	7110
4932438A13Rik	15883	7091
Samd9l	5329	7072
Edem3	6604	7057
Smc1a	3970	7035
Tmsb10	1828	7022
Cecr2	9213	7009
Lyst	11806	7001
