geneid	length	nreads
Lars2	3881	807270
Malat1	6982	289247
Actb	1889	144977
Rpph1	325	119161
Gm20594	334	117130
Cd74	2638	104863
Mir5109	87	92347
Eef1a1	1789	78621
Gm17821	12530	65762
Tmem38b	2861	60084
Eef2	3100	54441
Kcnq1ot1	83437	52716
Hsp90ab1	2507	51652
Myh9	7371	51519
Msn	3840	42627
Actg1	1894	42567
Hspa8	2104	40743
Macf1	40909	40560
Ms4a1	2057	40183
Serinc3	3694	39737
Ddx5	3520	35599
A130077B15Rik	2547	35519
Syk	10202	35218
Iqgap1	7359	34960
Rpl13a	1026	34207
Rpsa	1861	33895
Tpt1	894	33413
Wdfy4	9681	32993
Xist	30168	32610
Rmrp	275	32367
Mll2	19827	32330
Ptpn6	4409	32004
Ikzf3	4098	31789
Btg1	5008	31760
Ptma	1192	31738
Scd1	4837	30716
Ncl	8257	30335
Rpl5	2019	29837
Pabpc1	2820	29663
Spib	2786	29423
Prkcb	8829	29311
Srrm2	8600	28943
Rplp0	1360	28321
Mcl1	3487	27810
Cd24a	1816	27667
Ptprc	15994	27135
Map3k1	6961	26531
Coro1a	1597	25960
Ly6e	12714	25613
Ucp2	4133	25488
Ptprj	11835	25483
Rpl4	1422	25017
Prrc2c	10444	24206
Lcp1	7748	23889
Eif4g2	15406	23813
Cyfip2	19633	23209
Swap70	4035	23190
Hnrnpu	3670	23174
Hnrnpa2b1	5732	23165
Hsp90b1	2759	23055
Grk4	5648	22994
Rps6	1394	22982
Son	15737	22878
Ywhaz	13871	22719
Dock2	6291	22555
Cd79b	1198	22375
Arid1a	8175	22230
Rpl8	862	21946
Cd22	8069	21928
Flna	8347	21728
Prpf8	7481	21619
Tln1	8560	21476
H2-K1	1646	21398
Mki67	10075	21385
Rpl7	934	21300
Chd4	6425	21191
Prrc2a	13713	20930
Atp2a3	13719	20865
Chst3	6112	20664
Actr3	7851	20579
Unc93b1	4258	20419
Sptbn1	17288	20138
Rps3a1	943	20124
Cltc	6144	20116
A630089N07Rik	2131	19953
Hnrnpf	16120	19829
Med13	11787	19728
Tmsb4x	670	19608
Itpr3	8990	19238
Irf8	2827	18894
Cd19	2436	18798
Rpl19	1490	18765
Rpl18a	1291	18707
Rps7	961	18596
Fam129c	2482	18499
Gnai2	2177	18475
Polr2a	5799	18436
Pfn1	870	18395
Rpl17	775	18380
Rpl23a	560	18349
Dgkd	5694	18181
Rpl6	1250	18116
Rps3	1878	18045
Psap	15807	18001
H3f3b	1993	17768
Arhgef1	16676	17704
Snord15b	145	17609
Ets1	9859	17576
Calr	1943	17472
Foxp1	20834	17367
Gnas	22976	17367
Rpl3	1361	17331
Sorl1	6938	17315
Ly6d	691	17282
Ikzf1	10065	17054
Gnb2l1	1254	17013
H2-Ab1	1193	16946
Rpl21	1856	16938
Rps9	703	16880
Smg1	15553	16638
Rps8	740	16630
Sf3b1	6192	16435
Plekha2	4984	16382
Adrbk1	3182	16345
Eif3a	5176	16329
Ppia	736	16321
Birc6	15768	16294
Tubb5	2645	16230
Huwe1	14625	16171
Hnrnpk	1978	16087
Sptan1	23994	16066
Rps24	2569	15971
Gm10845	3389	15867
Wnk1	53018	15863
Akap13	12543	15781
Cfl1	1184	15614
Ifi30	981	15559
Nsd1	12784	15543
Rplp2	441	15507
Hist1h1c	1561	15413
Tcf3	26488	15275
Myo1c	15883	15207
Mll3	16820	15159
Ezr	3070	15143
Lyn	6849	15133
Rpl41	449	15087
Tpm3	9062	15074
Plcg2	4298	15051
Cd79a	1327	14999
Ybx1	2191	14954
Dync1h1	14398	14878
Calm1	4001	14774
Mll1	16439	14773
Ubr4	15872	14745
Rplp1	468	14634
Ptbp3	13735	14535
Ccnd2	5771	14526
Rpl13	778	14419
Ncor1	20689	14389
Tnfrsf13c	1906	14374
Bptf	11488	14244
Serbp1	26614	14240
Arhgap30	4487	14204
Crebbp	7507	14178
B2m	858	14148
Iqsec1	11016	14002
Rpl10	795	13996
Mbnl1	28915	13985
Faim3	1491	13974
Hvcn1	5423	13928
Rps4x	876	13895
Vim	1834	13802
Serp1	2449	13755
Sbk1	4092	13686
Top2b	5633	13662
Esyt1	3685	13645
Hsp90aa1	2850	13593
Zfp106	9099	13531
Samhd1	7897	13382
Vars	4224	13316
Laptm5	2398	13200
Pten	8212	13182
Uba52	494	13180
Rpl27a	1112	13166
Smarca4	19107	13125
Snn	2904	13116
Rac2	3036	13098
Lsp1	11254	13096
Snrnp200	6740	13095
Snord17	221	13086
Fau	1881	12915
Cd37	1226	12912
Stk4	5189	12875
Atrx	10242	12820
Cd72	5736	12817
Caprin1	25393	12568
Rpl35	452	12547
Setd2	8350	12531
Rpl7a	864	12407
Sf3b2	3233	12379
Ankrd11	17535	12377
Nedd9	8947	12348
Bcl11a	12842	12336
Nap1l1	5453	12261
Nipbl	17414	12223
Klf2	1816	12168
Sfpq	5783	12141
Chd2	9071	12099
Kat6a	9126	12094
Eif4g1	10813	12077
Grk6	8091	12041
Tmem123	2870	12041
Wdr1	2878	12031
Parp1	3827	12006
Fmnl1	7647	11944
Chd3	7281	11907
Csk	2276	11891
Sipa1	18455	11883
Cnot1	24984	11867
Actr2	3669	11852
Aff3	6010	11838
Ep400	21488	11831
Kctd12	6057	11808
Dock10	7303	11796
Tpr	7550	11747
Itga4	9832	11740
Trip12	9632	11719
Ep300	8749	11709
Pou2af1	2566	11610
H2-Aa	1069	11593
Ptk2b	11794	11578
Mtss1	9908	11515
Notch2	10506	11471
Rps27a	1547	11470
Fryl	11470	11429
Cnp	4881	11402
Bach2	8493	11400
Hspa5	5150	11367
Ddx17	16427	11366
Ralgps2	41634	11331
Atp5a1	2431	11301
Canx	12827	11286
Rere	7458	11219
Stk10	5073	11189
Aff1	16635	11097
Hmha1	7408	11087
Helz2	10109	11077
Adam19	6387	11039
Rps2	999	11039
Hip1r	4392	11017
Ddx6	18106	10963
Brd2	13469	10949
Mll5	7258	10917
Rpl23	1062	10895
Snx2	2013	10837
Ablim1	18775	10806
Purb	8478	10799
Scaf11	7724	10794
Sept11	5008	10792
Hmgb1	2309	10771
Dmxl1	12211	10768
Apobec3	4819	10741
Cic	18294	10715
Prkcd	2775	10671
Csde1	8309	10617
Rasgrp1	5105	10589
