geneid	length	nreads
Lars2	3881	515233
Malat1	6982	266646
Gm20594	334	95447
Rpph1	325	68470
Tmem38b	2861	63554
Gm17821	12530	57721
Smarca4	19107	53525
Kcnq1ot1	83437	49974
Rag1	6667	46931
Syk	10202	42850
Actb	1889	41242
Eef1a1	1789	40886
Ddx5	3520	40713
Serinc3	3694	39255
Bach2	8493	36368
Cecr2	9213	29959
Akap12	6247	29621
A130077B15Rik	2547	28705
Cyfip2	19633	27874
Eef2	3100	26368
Mir5109	87	25590
Mki67	10075	25071
Iqgap1	7359	24397
Eif4g2	15406	24233
Hspa8	2104	23651
Prkcb	8829	22770
Mll2	19827	22626
Grk4	5648	22336
Btg1	5008	21935
Srrm2	8600	21766
Nipbl	17414	21759
Tpt1	894	21399
Myb	7197	21388
Pabpc1	2820	21356
Hsp90ab1	2507	21185
Sptbn1	17288	20939
Rmrp	275	20432
Ptma	1192	20161
Foxp1	20834	20134
Prrc2c	10444	20091
A630089N07Rik	2131	19719
Hnrnpu	3670	19647
Myh9	7371	19537
Son	15737	19081
Hsp90b1	2759	18892
Hnrnpa2b1	5732	18816
Plekha2	4984	18276
Snord15b	145	18044
Cacna1e	12697	17997
Dgkd	5694	17732
Med13	11787	17169
Aff1	16635	17150
Ikzf3	4098	16823
Serinc5	5318	16645
Top2b	5633	16563
Atp1b1	2422	16254
Arid1b	11325	16181
Mll3	16820	15862
Slc12a6	12573	15803
Tcf3	26488	15763
Msn	3840	15760
Ikzf1	10065	15627
Rpl5	2019	15288
Wdfy4	9681	15236
Rere	7458	15199
Dock2	6291	14882
Fam53b	10199	14811
Cerk	4546	14796
Gm10845	3389	14572
Pou2af1	2566	14471
Bptf	11488	14442
Arid1a	8175	14439
H3f3b	1993	14438
Klhl24	6683	14307
Map3k1	6961	14110
Ywhaz	13871	14018
Spib	2786	13984
Rpl13a	1026	13875
Actg1	1894	13777
Huwe1	14625	13670
D930015E06Rik	4909	13608
Prrc2a	13713	13397
Cd19	2436	13395
Sf3b1	6192	13336
Ly6e	12714	13288
Crebbp	7507	13126
Cd24a	1816	13084
Polr2a	5799	13054
Sfpq	5783	13038
Il7r	3210	12967
Ddx17	16427	12903
Phip	10729	12897
Ucp2	4133	12886
Cltc	6144	12809
Lrmp	2313	12809
Wnk1	53018	12727
Fam129c	2482	12594
Mll1	16439	12566
Cd93	6638	12507
Chst3	6112	12504
Nsd1	12784	12428
Atrx	10242	12279
Hist1h1c	1561	12275
Hmgb1	2309	12270
Ncl	8257	12257
Ankrd11	17535	12213
Unc93b1	4258	12087
C1galt1	2065	12074
Mtss1	9908	12004
Chd4	6425	11958
Akap13	12543	11866
Trp53inp1	10822	11860
Reln	11698	11817
Dnajc7	2312	11794
Vps13b	13371	11785
Birc6	15768	11773
Adrbk1	3182	11719
Rpl4	1422	11698
Myo1c	15883	11693
Rps3a1	943	11623
H2-K1	1646	11600
Serp1	2449	11490
Ncor1	20689	11438
Hnrnpk	1978	11377
Macf1	40909	11309
Stk4	5189	11272
Setd2	8350	11191
Bcl7a	3809	11184
Ssh2	9039	11184
Ptbp3	13735	11165
Prpf8	7481	11157
Smg1	15553	11140
Ets1	9859	11089
Rpl7	934	11007
Calm1	4001	10999
Tln1	8560	10995
Irf4	4683	10937
Mbnl1	28915	10898
Ablim1	18775	10796
Tifa	2137	10667
Zeb2	9113	10598
Cnp	4881	10526
Dync1h1	14398	10344
Cd79b	1198	10343
Ivns1abp	9693	10331
Sptan1	23994	10276
Synj2bp	10398	10264
Hnrnph1	2226	10259
Cplx2	4925	10245
Eif3a	5176	10223
Rps6	1394	10206
Ptprc	15994	10153
Glcci1	6204	10123
Pyhin1	3497	10058
Ubr4	15872	9982
Aff3	6010	9931
Xrcc6	2113	9922
Top2a	5217	9777
Akna	5475	9742
Pum2	37079	9738
Hmgb2	2692	9737
Scaf11	7724	9646
Trip12	9632	9638
Hnrnpf	16120	9632
Ebf1	2245	9610
Pten	8212	9513
Itga4	9832	9466
Adam19	6387	9429
Rpsa	1861	9415
Ep300	8749	9352
Rps9	703	9318
Phf2	5260	9296
Fcrla	5046	9254
Edem3	6604	9238
Sox4	2953	9164
Rbm39	2812	9123
Chd2	9071	9082
Jmjd1c	16999	9062
Fmnl1	7647	9045
Hnrnpm	4947	9019
Cnot1	24984	8973
Mll5	7258	8963
Psap	15807	8958
Tpr	7550	8947
Rpl18a	1291	8939
Fam107b	3148	8902
B2m	858	8852
Caprin1	25393	8795
Psme4	6442	8757
Foxo1	5552	8743
Rplp0	1360	8722
Laptm5	2398	8721
Ddx6	18106	8719
Rpl23a	560	8711
Kif21b	9119	8689
Dmxl1	12211	8672
Prrc2b	19232	8669
Dock8	7810	8664
Mcl1	3487	8638
Hsp90aa1	2850	8593
Rpl8	862	8578
Tubb5	2645	8536
Fryl	11470	8508
Cxcr4	1814	8487
Btg2	3083	8470
Lyn	6849	8423
Samhd1	7897	8373
Actr3	7851	8357
Erbb2ip	12962	8335
Dpp4	8922	8334
Kat6a	9126	8228
Atp2a3	13719	8219
Itpr3	8990	8216
Rpl17	775	8162
Baz2a	8369	8156
Rock1	6187	8130
Mlxip	9505	8121
4930470H14Rik	1734	8119
Elf1	4217	8105
Acin1	19148	8082
Adam10	4589	8073
Ranbp2	9476	8049
Hmha1	7408	8024
Tcf12	21475	8010
Mycbp2	15233	7984
Rpl19	1490	7969
Rpl21	1856	7952
Baz2b	7980	7948
Mid1	7784	7936
Csde1	8309	7927
Hcfc1	8093	7882
Cep110	13582	7771
Ep400	21488	7767
Snn	2904	7755
Txnip	5599	7755
Arl5a	5212	7752
Vars	4224	7749
Clint1	3398	7688
Ncoa2	16219	7631
Arhgef1	16676	7630
Stag2	11770	7628
Rps24	2569	7623
Pik3ap1	2615	7610
Hipk1	8049	7598
Cd74	2638	7593
Pbrm1	8117	7562
Usp34	12200	7559
Numa1	7153	7533
Arid2	9029	7523
Calm2	1216	7451
Marcks	4186	7418
2310014L17Rik	3239	7375
Rpl6	1250	7361
Apobec3	4819	7355
Rps7	961	7342
Hnrnpul1	4106	7312
Snord17	221	7288
Serbp1	26614	7273
Nfatc3	6014	7268
Ube2h	13361	7268
Chd1	7918	7264
Jund	2878	7249
Elk4	3671	7218
Wdr26	7047	7211
Ppia	736	7195
Ddx3x	4571	7155
Rps3	1878	7127
Cytip	5735	7110
Rpl10	795	7110
Fam63b	8081	7104
Rock2	8012	7102
Arl5c	1561	7075
Zfp106	9099	7068
Setx	10970	7057
Smchd1	7047	7042
Rad21	3605	7017
Gnb2l1	1254	6995
Gnas	22976	6981
Ash1l	11270	6945
Jak1	5299	6911
Lmnb1	2844	6906
Cic	18294	6892
Ezh2	5292	6889
Sbno1	10071	6883
Cpm	5195	6850
Rrm2b	4512	6842
Cd72	5736	6836
Brd2	13469	6826
Chd3	7281	6810
Atf7ip	4527	6780
Hist1h1e	1931	6779
Gnai2	2177	6761
Il16	4989	6753
Rpl3	1361	6742
Nup210	7035	6721
Smc4	4082	6715
Gse1	19783	6700
Eif4g3	18437	6678
Sf3b2	3233	6677
Cmah	19124	6649
Ptp4a3	13595	6626
Ybx1	2191	6624
Tnrc6b	34458	6619
Ppp2r5a	3082	6613
Inpp5d	14628	6611
Top1	3846	6599
Man2a1	6078	6587
Snrnp200	6740	6580
Trrap	12476	6573
Vmn1r58	2680	6561
Sbk1	4092	6559
Klhl6	2405	6548
Il2ra	4428	6514
Actr2	3669	6506
Fau	1881	6501
Wasf2	4088	6486
Cux1	7990	6482
Cd79a	1327	6476
Luc7l2	10478	6473
Usp7	5427	6467
H3f3a	1076	6443
Herpud1	1871	6431
Parp1	3827	6416
Pcbp2	11196	6389
Rpl27a	1112	6389
Kdm3b	7112	6387
Purb	8478	6374
Atp5a1	2431	6370
Dhx9	4613	6369
Rbm5	3087	6360
Tmem123	2870	6353
Sf1	8084	6351
Herc2	15346	6325
Gas7	13980	6324
Coro1a	1597	6321
Mprip	17502	6315
Brwd1	18378	6305
Cep350	13307	6297
Csk	2276	6287
Akap9	12105	6251
Prkcd	2775	6239
Ywhae	2078	6227
Brd4	8667	6219
Strbp	16348	6208
Swap70	4035	6195
Rps4x	876	6194
Chd8	8190	6168
Rps8	740	6141
Gabpb2	17273	6133
Tpm3	9062	6128
Ogt	5384	6109
Baz1b	6433	6107
Tcf20	14579	6093
Ly6d	691	6082
Flna	8347	6072
Hnrnpul2	5726	6053
Zfp36l2	3532	6050
Tmsb4x	670	6038
Cap1	2393	6018
Rcc2	3767	6018
Syne2	21718	5983
Hivep1	8753	5972
Hspa5	5150	5965
Zcchc11	6054	5945
Pik3r1	12754	5944
Uba52	494	5934
Thrap3	4327	5931
Gltscr1	5360	5926
Zfp488	4301	5922
Plcg2	4298	5918
Taok1	12409	5915
Itsn2	14409	5910
Zfp292	9977	5906
Hist1h1a	747	5898
Arhgap30	4487	5897
Tnks2	6481	5889
Ppp6r1	3793	5888
Gpd1l	4393	5879
Fchsd2	8750	5873
Mctp2	5789	5873
Kdm2a	7265	5872
Qk	16812	5849
Eif4g1	10813	5841
Srsf5	4703	5839
Clk1	6657	5827
Rpl41	449	5825
E2f2	4738	5814
Gpam	3828	5813
Cfl1	1184	5795
Hectd1	8988	5790
Itpr2	23547	5778
Hist1h1d	2977	5759
Dok3	1546	5757
Slc38a1	22077	5727
Usp9x	11902	5715
Rplp2	441	5692
Tmsb10	1828	5688
Spin1	5200	5679
Sh3kbp1	13926	5651
Bcor	33578	5648
Far1	7853	5648
Lnpep	5181	5636
Nckap1l	4717	5623
Hnrnpab	4949	5618
Tax1bp1	3284	5603
H2-Q4	1793	5590
Pik3cd	29395	5577
Nono	4933	5575
Canx	12827	5544
Slc1a5	2758	5538
Snx2	2013	5536
Ankhd1	8231	5526
Mgea5	4797	5524
Snx30	7507	5523
Sik1	4509	5520
Ftl1	970	5514
Zfp277	4530	5514
Cenpf	11122	5501
Zmiz1	7525	5492
Prpf4b	4466	5467
Ubr5	19562	5465
Arf6	3731	5459
Tmem106b	6082	5455
Nav2	22374	5448
Ptk2b	11794	5439
Eif4a2	7750	5426
Tnrc18	13852	5399
Klf13	6396	5393
Pnrc1	1925	5391
Srsf1	10924	5387
Slc38a2	4628	5386
Smc3	4851	5371
Samd9l	5329	5368
Iqsec1	11016	5367
Gdi2	2681	5355
Rpl7a	864	5336
Tet3	10906	5312
Kif5b	6030	5309
4932438A13Rik	15883	5302
Smc1a	3970	5299
Nedd9	8947	5297
Etnk1	6433	5296
Fbxo11	4013	5292
Mga	27235	5292
Tardbp	39147	5290
Jhdm1d	9553	5273
Sfrs18	4545	5272
Eif3c	2882	5266
Baz1a	6179	5256
Rpl23	1062	5254
Cep170	6930	5246
Smarcc1	5673	5225
Pde2a	20708	5222
Chd9	11517	5214
Ralgps2	41634	5201
Rbm25	4244	5187
Tapt1	3489	5183
Ppp1r12a	3403	5178
Bod1l	10539	5176
Ankrd17	19379	5173
Rabgap1l	9711	5171
Trib2	4198	5164
Tgfbr2	9501	5157
Cep250	31789	5156
Rpl13	778	5155
Supt16	4491	5153
Hnrnpc	13993	5148
Papola	4508	5135
Klf2	1816	5128
Arhgap17	16878	5121
Herc1	15229	5118
Ptprj	11835	5107
Gpcpd1	10795	5100
Naca	8152	5070
Rasgrp1	5105	5059
Cd38	2995	5056
Npm1	4093	5052
Zfp207	12240	5052
Kdm5a	10969	5043
Nnt	8140	5029
Arhgef18	5300	5012
Eif2ak3	4496	5008
Capza1	3187	5006
Mylip	2983	4990
Rhoa	2126	4963
St8sia4	6807	4954
Vcp	3315	4954
Bcr	6537	4945
Ino80d	26967	4942
Thoc2	7619	4941
Rbbp6	8471	4935
Atp5b	1879	4921
Lsp1	11254	4900
Sec63	6032	4889
Rps23	555	4879
Ifi203	7244	4878
Zc3h11a	4395	4877
Cpsf2	5315	4876
Uba1	16374	4869
Atad2b	8102	4865
Vpreb3	602	4860
Usp24	10601	4858
Ewsr1	2400	4857
Rps20	502	4855
Tram1	2888	4847
Vps13d	44688	4843
Calr	1943	4842
Mef2d	2459	4840
Eif4b	3854	4836
Set	5497	4831
Tmem164	12405	4829
Sp1	7818	4821
Srsf3	5626	4819
Copa	4629	4817
Cdk13	13982	4809
Creb1	25057	4808
Ctnnb1	7046	4795
Irf8	2827	4792
B3gnt2	5275	4781
Atxn2l	3718	4774
Ptp4a2	6795	4761
Picalm	24501	4754
2900097C17Rik	4917	4743
Ctcf	3823	4742
Ankfy1	8034	4715
Cyth1	9474	4713
Matr3	4472	4712
St6gal1	12729	4710
Hip1r	4392	4677
Tmpo	19823	4674
Apc	12449	4671
Nfat5	26824	4664
Brd1	5137	4660
Setd5	6470	4642
Dyrk1a	11771	4639
Mast4	10670	4639
Blnk	2097	4635
Pfn1	870	4634
Hivep2	9768	4632
Eif2c2	8031	4629
Rapgef6	31997	4615
Rps27a	1547	4615
AI314180	5901	4604
Ppp1r16b	12762	4602
Mtpn	4042	4596
Zbtb18	8786	4596
Dek	2602	4589
Syncrip	9341	4587
Irf2bp2	4530	4586
Cnbp	6489	4583
Kansl1	5510	4576
Esyt1	3685	4571
Eps8	21748	4568
Lbr	3552	4565
Slamf7	3977	4556
Cpsf6	6534	4548
Ccar1	4478	4539
Notch2	10506	4527
Marf1	7765	4519
Ppp1r15b	5588	4513
Hvcn1	5423	4497
Lcp1	7748	4481
Aplf	6332	4457
Smek1	9149	4448
Rpl35	452	4447
Trim28	3242	4445
Pax5	1208	4441
Adnp	4903	4440
Birc3	2811	4431
Prr14l	10546	4424
Cbfa2t3	22910	4420
Jun	3187	4401
Wdr1	2878	4401
Nufip2	10399	4399
Fgd6	8044	4378
Bclaf1	16209	4372
Zfml	10761	4363
Luc7l3	3296	4361
Dido1	18041	4346
Nucks1	12189	4346
Wbp7	8457	4346
Hspa4	4640	4343
Pcm1	8381	4343
Zfp871	10850	4342
Ezr	3070	4332
Eif5	7793	4328
Srrm1	7449	4325
Tab2	4278	4323
Rfx7	8000	4320
Ppp1cc	2379	4314
Rai1	14473	4314
Rplp1	468	4314
Rps12	518	4302
Ppp1ca	1363	4299
Ubxn7	10318	4299
Ddx54	3931	4289
Cct2	1962	4277
Hnrnpa0	2678	4264
Tm9sf3	6144	4263
Chchd10	948	4257
Hnrnpl	2142	4253
Sema4b	3946	4253
Ankrd13a	3252	4243
Dip2b	17041	4241
Mtmr3	5674	4240
Cdv3	15211	4231
Paip2	1424	4230
Smap2	2905	4230
Prdm2	16718	4227
2610507B11Rik	7443	4202
Tsc22d3	4119	4197
Zfpm1	3386	4194
Rac2	3036	4193
Arhgdia	2732	4189
Gramd4	8427	4182
Zfc3h1	6956	4182
Scd1	4837	4180
Txndc11	4197	4163
Csnk1a1	2013	4162
Rbm33	9501	4162
Osbpl8	14267	4161
