geneid	length	nreads
Malat1	6982	544846
Lars2	3881	414265
Rpph1	325	257529
Gm20594	334	150941
Actb	1889	146066
Cd74	2638	77359
Myh9	7371	64072
Mir5109	87	61240
Rmrp	275	58040
Eef1a1	1789	57865
Tmem38b	2861	54605
Hsp90ab1	2507	54105
Eef2	3100	53661
Macf1	40909	50580
Msn	3840	48267
Ms4a1	2057	47921
Mll2	19827	46902
Ptpn6	4409	45546
Cd24a	1816	45057
Wdfy4	9681	42753
Ikzf3	4098	42713
Syk	10202	42382
Hspa8	2104	40965
Xist	30168	39561
Serinc3	3694	38304
Actg1	1894	38239
Ptprj	11835	38237
Spib	2786	38123
Map3k1	6961	37821
Hsp90b1	2759	37146
Iqgap1	7359	36755
Ddx5	3520	36255
Srrm2	8600	35382
Btg1	5008	34632
Mcl1	3487	34083
Ptprc	15994	34007
Rpl13a	1026	33493
Prrc2c	10444	33410
Ptma	1192	33299
Scd1	4837	32057
Kcnq1ot1	83437	31837
Ncl	8257	31211
Cd79a	1327	30752
Tpt1	894	30020
Fam129c	2482	29804
Gm17821	12530	29676
Chst3	6112	29363
Hnrnpu	3670	29247
Rpsa	1861	29179
Med13	11787	29089
Pabpc1	2820	29070
Arid1a	8175	28643
Chd4	6425	28437
Son	15737	27950
Cyfip2	19633	27797
Ucp2	4133	27411
Atp2a3	13719	27131
Ywhaz	13871	26586
Hnrnpa2b1	5732	26583
Tln1	8560	26518
Rpl5	2019	26238
Swap70	4035	26132
Rplp0	1360	25955
Dock2	6291	25480
Flna	8347	25048
Prrc2a	13713	24455
Cd79b	1198	24398
Calr	1943	24353
Pten	8212	23873
Mki67	10075	23810
Cd22	8069	23439
Prkcb	8829	22940
Coro1a	1597	22785
Smg1	15553	22642
Unc93b1	4258	22133
Wnk1	53018	21817
Cd72	5736	21656
Akap13	12543	21616
Ly6e	12714	21506
Mll3	16820	21394
Hnrnpf	16120	21293
Foxp1	20834	21165
Prpf8	7481	21128
Hnrnpk	1978	21093
Tmsb4x	670	20929
Actr3	7851	20844
Cd19	2436	20818
Eif3a	5176	20715
Plekha2	4984	20586
Arhgap30	4487	20576
Cltc	6144	20381
H2-K1	1646	20355
Eif4g2	15406	20314
Birc6	15768	20186
Itpr3	8990	19779
Rpl23a	560	19615
Lyn	6849	19605
Sptbn1	17288	19590
Plcg2	4298	19556
Nsd1	12784	19485
Ikzf1	10065	19383
Rps6	1394	19020
Tcf3	26488	18987
Sfpq	5783	18958
Bptf	11488	18805
Dgkd	5694	18789
Samhd1	7897	18737
Tnfrsf13c	1906	18713
Huwe1	14625	18621
Rps3a1	943	18395
Kctd12	6057	18362
Ubr4	15872	18189
Sf3b1	6192	18135
Rpl4	1422	18014
Mll1	16439	17961
Adrbk1	3182	17939
Ets1	9859	17876
Rps7	961	17873
Ncor1	20689	17855
Gnai2	2177	17816
Rere	7458	17594
Akap12	6247	17579
Kat6a	9126	17496
Rpl19	1490	17431
Dync1h1	14398	17355
Atrx	10242	17329
Stk4	5189	17309
Hist1h1c	1561	17281
Crebbp	7507	17223
Sorl1	6938	17219
Myo1c	15883	17192
Polr2a	5799	17053
Tpm3	9062	17030
Arhgef1	16676	16955
Rpl7	934	16895
Setd2	8350	16862
H3f3b	1993	16846
Pik3ap1	2615	16833
Klf2	1816	16672
Itga4	9832	16592
Ezr	3070	16555
Iqsec1	11016	16527
Dmxl1	12211	16491
Pfn1	870	16224
Snord15b	145	16220
Cic	18294	16131
Mid1	7784	16126
Tpr	7550	16107
Ankrd11	17535	16098
Rpl8	862	15997
Hsp90aa1	2850	15996
Rps8	740	15995
Lrmp	2313	15956
Nap1l1	5453	15929
Mbnl1	28915	15911
Vim	1834	15875
Brwd1	18378	15760
Sptan1	23994	15745
Nipbl	17414	15730
Top2b	5633	15675
Cd37	1226	15622
Nedd9	8947	15588
Hip1r	4392	15526
Ablim1	18775	15522
Hmha1	7408	15502
Lcp1	7748	15467
Lsp1	11254	15453
Ddx17	16427	15418
Smarca4	19107	15385
Rpl6	1250	15367
Sbk1	4092	15280
Zcchc11	6054	15188
Calm1	4001	15112
Aff3	6010	15096
Tubb5	2645	15090
Zfp106	9099	15000
Fryl	11470	14988
Gnb2l1	1254	14976
Serbp1	26614	14948
Ccnd2	5771	14841
Siglecg	2484	14838
Ybx1	2191	14783
Gnas	22976	14659
Faim3	1491	14643
Cfl1	1184	14641
Ralgps2	41634	14613
Sf3b2	3233	14566
Ptbp3	13735	14473
Rps9	703	14443
Bach2	8493	14395
A130077B15Rik	2547	14250
Bcl11a	12842	14250
Ppia	736	14237
Grk6	8091	14192
Tmem123	2870	14176
Jund	2878	14102
Ptk2b	11794	14094
Rpl18a	1291	13993
Aff1	16635	13970
1700021K19Rik	10641	13963
Ep400	21488	13945
Acin1	19148	13935
Irf8	2827	13818
Vars	4224	13757
Csk	2276	13732
Wdr1	2878	13669
Cnp	4881	13657
Ep300	8749	13657
Card11	4112	13652
Rps3	1878	13638
Ifi30	981	13618
Hmgb1	2309	13610
Dock8	7810	13548
Smchd1	7047	13525
Rpl17	775	13431
Eif4g1	10813	13430
Scaf11	7724	13396
Bank1	3247	13391
Psap	15807	13363
Pou2af1	2566	13357
Chd2	9071	13350
Rplp1	468	13140
Pax5	1208	13128
B2m	858	13100
Rpl3	1361	13041
Rbm39	2812	12970
Usp34	12200	12966
Hcfc1	8093	12868
Cux1	7990	12855
Rac2	3036	12820
Sp100	2158	12801
Golgb1	11025	12799
Rpl21	1856	12759
Snord17	221	12681
Kdm3b	7112	12574
Mll5	7258	12552
Hnrnpm	4947	12514
Fmnl1	7647	12498
5031439G07Rik	5032	12489
Pml	10616	12440
Prkcd	2775	12429
Trip12	9632	12408
Ly6d	691	12397
Cnot1	24984	12390
Arid1b	11325	12374
Ncoa3	7531	12354
Canx	12827	12352
Sipa1	18455	12351
Dennd4b	5399	12340
Mycbp2	15233	12310
Itsn2	14409	12220
Esyt1	3685	12216
Sik1	4509	12203
Numa1	7153	12181
Hvcn1	5423	12177
Cap1	2393	12079
Snx2	2013	12048
Tcf20	14579	12025
Notch2	10506	12024
Mtss1	9908	12018
Brd2	13469	11947
Baz1b	6433	11944
Sept11	5008	11926
Uba52	494	11901
Rpl13	778	11860
Hspa5	5150	11757
Ash1l	11270	11743
Caprin1	25393	11725
Serp1	2449	11704
D930015E06Rik	4909	11664
Grk4	5648	11620
Elf1	4217	11572
Stk10	5073	11548
Map4k1	2698	11538
Helz2	10109	11501
Baz1a	6179	11489
Rasgrp1	5105	11488
Prex1	6530	11479
Phip	10729	11462
Actr2	3669	11447
Hnrnpul1	4106	11411
Snrnp200	6740	11402
Atp5a1	2431	11332
Fau	1881	11326
Supt16	4491	11267
Parp1	3827	11237
Dbnl	7086	11236
Lmnb1	2844	11232
Laptm5	2398	11227
Sf1	8084	11217
Adam19	6387	11183
Samd9l	5329	11175
Syvn1	6573	11173
Tcof1	9150	11162
Rcc2	3767	11154
Thrap3	4327	11144
Rps4x	876	11110
Eif4g3	18437	11044
Atf7ip	4527	11033
Hnrnph1	2226	11009
Purb	8478	10951
Hcls1	2018	10938
Wdr26	7047	10899
Snn	2904	10882
Arid3a	5326	10856
Pum2	37079	10856
Kif21b	9119	10785
Baz2a	8369	10778
Tet3	10906	10766
Inpp5d	14628	10756
Syne2	21718	10755
Ranbp2	9476	10732
Dock10	7303	10683
Edem3	6604	10629
Cep110	13582	10583
Npm1	4093	10568
Rplp2	441	10537
Lbh	3068	10532
Rps23	555	10521
Rock1	6187	10496
Hck	4184	10491
Itpr1	9877	10490
Ppp6r1	3793	10464
Slc12a6	12573	10464
Itpr2	23547	10462
Csde1	8309	10403
Jarid2	17383	10385
Hnrnpul2	5726	10375
Fam107b	3148	10343
Rpl41	449	10339
Arhgap17	16878	10335
Vav1	12315	10294
Sbno1	10071	10280
Cytip	5735	10279
Brd4	8667	10263
Akna	5475	10257
Jmjd1c	16999	10255
Klf13	6396	10251
Ddx6	18106	10248
Etnk1	6433	10221
Foxo1	5552	10203
Rpl35	452	10185
Chd8	8190	10183
Smc1a	3970	10165
Cecr2	9213	10160
Arf6	3731	10154
Rps24	2569	10147
Rpl10	795	10137
Btla	6467	10111
Prrc2b	19232	10087
Hectd1	8988	10075
Myo1e	4944	10059
Plec	225028	10043
Nono	4933	9986
E2f2	4738	9981
Myo18a	7304	9918
Nedd4	5494	9916
Herc2	15346	9895
Top2a	5217	9866
Rpl29	710	9803
Ywhae	2078	9777
Vps13b	13371	9772
Sema4d	4377	9759
Gdi2	2681	9756
H3f3a	1076	9749
Add1	11918	9662
Jak1	5299	9625
Tlr9	3471	9613
Arhgdia	2732	9606
Tnrc6b	34458	9604
Wipf1	4397	9594
Erbb2ip	12962	9568
Vps13d	44688	9541
Fth1	2453	9535
Pik3c2b	7929	9517
Usp7	5427	9504
Sh2b3	2482	9493
Set	5497	9488
Hmgb2	2692	9478
Myb	7197	9474
Rbm25	4244	9458
Setx	10970	9443
Bod1l	10539	9418
Eif3c	2882	9416
Nckap1l	4717	9414
Ivns1abp	9693	9392
Dhx9	4613	9391
Pld4	1978	9381
Arhgef18	5300	9330
Luc7l2	10478	9321
Zfp36l1	2984	9316
Hnrnpab	4949	9295
Cep350	13307	9281
Myo1g	3307	9261
Klhl14	4018	9237
Gabpb2	17273	9233
Treml2	4509	9200
Hivep2	9768	9176
Srsf5	4703	9155
