geneid	length	nreads
Rpph1	325	314623
Lars2	3881	234658
Malat1	6982	223284
Gm20594	334	138317
Mki67	10075	103496
Smarca4	19107	79903
Actb	1889	78742
Ptma	1192	78173
Hmgb1	2309	57422
Hmgb2	2692	54763
Gm17821	12530	50566
Syk	10202	49670
Hist1h1c	1561	48182
Hsp90ab1	2507	47713
Akap12	6247	47571
Pabpc1	2820	46382
Cecr2	9213	45938
Hist2h2bb	493	45869
Eef2	3100	45398
Eef1a1	1789	44664
Cyfip2	19633	43475
Hnrnpu	3670	42378
Top2a	5217	41864
Bach2	8493	41505
Ddx5	3520	39838
Myb	7197	39771
Ncl	8257	39513
Serinc3	3694	38594
Rmrp	275	37851
Tpt1	894	37353
Lmnb1	2844	36900
Rpl13a	1026	35952
Prrc2c	10444	35901
Tubb5	2645	34673
Msn	3840	34144
Myh9	7371	33616
Hnrnpa2b1	5732	33388
Cd24a	1816	33101
Ucp2	4133	33055
Hsp90b1	2759	32086
Srrm2	8600	31889
Hnrnpk	1978	31868
Xist	30168	30602
Hspa8	2104	30393
Mll2	19827	30355
Rplp0	1360	30351
Tcf3	26488	30038
Rag1	6667	29742
Iqgap1	7359	28344
Aff1	16635	28342
Sfpq	5783	28261
Arid1a	8175	27065
Hsp90aa1	2850	27054
Rpl5	2019	26667
Sptbn1	17288	26374
Rpsa	1861	26361
Dek	2602	26230
Rad21	3605	25782
Top2b	5633	25101
Atp1b1	2422	24911
Plekha2	4984	24664
Nipbl	17414	24358
Eif4g2	15406	24172
Prkcb	8829	23953
Stk4	5189	23926
Son	15737	23840
Ikzf3	4098	23813
Kcnq1ot1	83437	23653
Chd4	6425	23027
Wnk1	53018	22989
Wdfy4	9681	22858
Ywhaz	13871	22858
Hist1h1e	1931	22808
Eif3a	5176	22454
Prrc2a	13713	22414
Cenpf	11122	22281
Med13	11787	22123
Rps3a1	943	21605
Foxp1	20834	21445
Hist2h4	348	20906
Hist1h1a	747	20670
Rpl37	867	20119
Rere	7458	19997
Hist1h1d	2977	19972
Supt16	4491	19866
Adrbk1	3182	19858
Atrx	10242	19727
A130077B15Rik	2547	19514
Irf4	4683	19453
Rpl23a	560	19404
Ankrd11	17535	19326
Map3k1	6961	19254
Smc1a	3970	19106
Bcl7a	3809	18933
Arid1b	11325	18915
Hnrnpf	16120	18802
H3f3b	1993	18683
Trp53inp1	10822	18659
Glcci1	6204	18640
Rpl19	1490	18388
Rpl4	1422	18289
Cd93	6638	18092
Anp32e	9375	18064
Tpr	7550	18055
Pou2af1	2566	17790
Tmem38b	2861	17707
Dgkd	5694	17663
Crebbp	7507	17603
Ncor1	20689	17595
Mll3	16820	17575
Lrmp	2313	17559
Sf3b2	3233	17534
Rps6	1394	17518
Zeb2	9113	17505
Ikzf1	10065	17472
Hist1h4d	312	17265
Snord15b	145	17230
Spib	2786	17180
Sf3b1	6192	17144
Hnrnpul1	4106	17115
Kat6a	9126	17033
Btg1	5008	17022
Akap13	12543	17006
Birc6	15768	16968
Bptf	11488	16884
Ybx1	2191	16857
Stmn1	1060	16777
Ezh2	5292	16716
Actg1	1894	16604
